k,num_training_examples,accuracy,time_training_seconds
100,256,0.50976562,0.2
100,512,0.59277344,0.22
100,1024,0.61425781,0.24
100,2048,0.60595703,0.32
100,4096,0.62304688,0.38
100,8192,0.62353516,0.58
100,16384,0.63964844,1.0
100,32768,0.62890625,1.89
100,65536,0.64794922,3.52
100,131072,0.66357422,7.64
100,262144,0.66113281,13.64
100,524288,0.65136719,25.13
100,1048576,0.66308594,51.13
1000,256,0.52636719,1.34
1000,512,0.61132812,1.44
1000,1024,0.62451172,1.84
1000,2048,0.64648438,2.23
1000,4096,0.63867188,3.21
1000,8192,0.64355469,4.88
1000,16384,0.64501953,8.61
1000,32768,0.65283203,15.6
1000,65536,0.66162109,30.7
1000,131072,0.68261719,57.68
1000,262144,0.68652344,115.68
1000,524288,0.67773438,228.52
1000,1048576,0.68652344,460.25
10000,256,0.53076172,11.97
10000,512,0.60791016,13.39
10000,1024,0.64111328,15.97
10000,2048,0.63623047,20.85
10000,4096,0.64648438,30.73
10000,8192,0.65527344,47.88
10000,16384,0.65429688,84.85
10000,32768,0.65332031,153.08
10000,65536,0.6640625,293.36
10000,131072,0.68701172,572.71
10000,262144,0.69482422,1135.39
10000,524288,0.69287109,2244.34
10000,1048576,0.68994141,4534.92
